workerid	question	response_end	trialnum	correct	time_on_slide_in_seconds	measure	response_start	type	response	language	enjoyment	gender	age	comments	assess	education	OS	screenH	screenW	Browser	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.catch_trials	Answer.condition	Answer.time_in_minutes
1	Why do you think Tom Lyons puts so much time and energy into baseball camps instead of taking a vacation?	.	3	NA	13.822	free	Because	explanation	he wants to feel good about himself	English	2	Male	31	no	Yes	3	Windows	768	1360	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3MRNMEIQW56H6JIONIVKN9OU22GLD5	1	Approved	Mon Dec 01 22:16:46 PST 2014	Mon Dec 01 05:34:46 PST 2014	Mon Dec 01 05:36:46 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"repeat_target","target":"astoundingly","context":["colossally","outrageously","insanely"]}	1.94065
1	Please fill in the blank with your best guess:	, Tom Lyons would not hold baseball camps instead of taking a vacation.	4	NA	17.048	free	If it wasn&quotechart the case that	counterfactual	he had a bad childhood	English	2	Male	31	no	Yes	3	Windows	768	1360	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3MRNMEIQW56H6JIONIVKN9OU22GLD5	1	Approved	Mon Dec 01 22:16:46 PST 2014	Mon Dec 01 05:34:46 PST 2014	Mon Dec 01 05:36:46 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"repeat_target","target":"astoundingly","context":["colossally","outrageously","insanely"]}	1.94065
2	NA	NA	NA	NA	21.545	NA	NA	none	NA	english	1	Male	33		Yes	3	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	30ZX6P7VF8VO8JW8N8ZQBBKY1MM2JB	2	Approved	Mon Dec 01 22:17:18 PST 2014	Mon Dec 01 05:35:14 PST 2014	Mon Dec 01 05:37:18 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	2.0109666666666666
2	What kind of camps does Tom Lyons hold?	camps.	0	baseball	18.497	free	He holds	attention_check	baseball	english	1	Male	33		Yes	3	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	30ZX6P7VF8VO8JW8N8ZQBBKY1MM2JB	2	Approved	Mon Dec 01 22:17:18 PST 2014	Mon Dec 01 05:35:14 PST 2014	Mon Dec 01 05:37:18 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	2.0109666666666666
2	What position does Tom Lyons play?	.	1	pitcher	5.778	free	Tom Lyons is a	attention_check	pitcher	english	1	Male	33		Yes	3	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	30ZX6P7VF8VO8JW8N8ZQBBKY1MM2JB	2	Approved	Mon Dec 01 22:17:18 PST 2014	Mon Dec 01 05:35:14 PST 2014	Mon Dec 01 05:37:18 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	2.0109666666666666
2	During the off-season, about what percent of his free time do you think Tom Lyons spends working with children one-on-one and coaching them? (adjust the slider to answer)	NA	2	NA	8.823	slider	NA	amount	0.31	english	1	Male	33		Yes	3	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	30ZX6P7VF8VO8JW8N8ZQBBKY1MM2JB	2	Approved	Mon Dec 01 22:17:18 PST 2014	Mon Dec 01 05:35:14 PST 2014	Mon Dec 01 05:37:18 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	2.0109666666666666
2	Why do you think Tom Lyons puts so much time and energy into baseball camps instead of taking a vacation?	.	3	NA	12.667	free	Because	explanation	he liked to give back to the community	english	1	Male	33		Yes	3	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	30ZX6P7VF8VO8JW8N8ZQBBKY1MM2JB	2	Approved	Mon Dec 01 22:17:18 PST 2014	Mon Dec 01 05:35:14 PST 2014	Mon Dec 01 05:37:18 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	2.0109666666666666
2	Please fill in the blank with your best guess:	, Tom Lyons would not hold baseball camps instead of taking a vacation.	4	NA	27.763	free	If it wasn&quotechart the case that	counterfactual	he had an off-season	english	1	Male	33		Yes	3	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	30ZX6P7VF8VO8JW8N8ZQBBKY1MM2JB	2	Approved	Mon Dec 01 22:17:18 PST 2014	Mon Dec 01 05:35:14 PST 2014	Mon Dec 01 05:37:18 PST 2014	Mon Dec 01 05:39:13 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	2.0109666666666666
3	NA	NA	NA	NA	31.313	NA	NA	none	NA	English	2	Female	24		Yes	4	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	36ZN444YTRY6KF17SOCN6N81PCTIOL	3	Approved	Mon Dec 01 22:17:27 PST 2014	Mon Dec 01 05:35:36 PST 2014	Mon Dec 01 05:37:27 PST 2014	Mon Dec 01 05:39:14 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	1.8178
3	What kind of camps does Tom Lyons hold?	camps.	0	baseball	8.54	free	He holds	attention_check	free baseball	English	2	Female	24		Yes	4	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	36ZN444YTRY6KF17SOCN6N81PCTIOL	3	Approved	Mon Dec 01 22:17:27 PST 2014	Mon Dec 01 05:35:36 PST 2014	Mon Dec 01 05:37:27 PST 2014	Mon Dec 01 05:39:14 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	1.8178
3	What position does Tom Lyons play?	.	1	pitcher	4.014	free	Tom Lyons is a	attention_check	pitcher	English	2	Female	24		Yes	4	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	36ZN444YTRY6KF17SOCN6N81PCTIOL	3	Approved	Mon Dec 01 22:17:27 PST 2014	Mon Dec 01 05:35:36 PST 2014	Mon Dec 01 05:37:27 PST 2014	Mon Dec 01 05:39:14 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	1.8178
3	During the off-season, about what percent of his free time do you think Tom Lyons spends working with children one-on-one and coaching them? (adjust the slider to answer)	NA	2	NA	10.606	slider	NA	amount	0.6	English	2	Female	24		Yes	4	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	36ZN444YTRY6KF17SOCN6N81PCTIOL	3	Approved	Mon Dec 01 22:17:27 PST 2014	Mon Dec 01 05:35:36 PST 2014	Mon Dec 01 05:37:27 PST 2014	Mon Dec 01 05:39:14 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	1.8178
3	Why do you think Tom Lyons puts so much time and energy into baseball camps instead of taking a vacation?	.	3	NA	11.693	free	Because	explanation	he just enjoys baseball	English	2	Female	24		Yes	4	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	36ZN444YTRY6KF17SOCN6N81PCTIOL	3	Approved	Mon Dec 01 22:17:27 PST 2014	Mon Dec 01 05:35:36 PST 2014	Mon Dec 01 05:37:27 PST 2014	Mon Dec 01 05:39:14 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	1.8178
3	Please fill in the blank with your best guess:	, Tom Lyons would not hold baseball camps instead of taking a vacation.	4	NA	19.033	free	If it wasn&quotechart the case that	counterfactual	he loved baseball so much	English	2	Female	24		Yes	4	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	36ZN444YTRY6KF17SOCN6N81PCTIOL	3	Approved	Mon Dec 01 22:17:27 PST 2014	Mon Dec 01 05:35:36 PST 2014	Mon Dec 01 05:37:27 PST 2014	Mon Dec 01 05:39:14 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	1.8178
4	NA	NA	NA	NA	27.731	NA	NA	none	NA	English	2	Female	24		Yes	2	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	354P56DE9K3OTNC4GEPZZ3ST8LKS7W	4	Approved	Mon Dec 01 22:17:29 PST 2014	Mon Dec 01 05:34:53 PST 2014	Mon Dec 01 05:37:29 PST 2014	Mon Dec 01 05:39:14 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	2.5054666666666665
4	What kind of camps does Tom Lyons hold?	camps.	0	baseball	11.843	free	He holds	attention_check	pitching	English	2	Female	24		Yes	2	Windows	768	1366	Chrome	3TL87MO8CMPBHJYQOML8MPWWWDJFL3	3SL9J757T5EI8DO9BFJLGDIVMFC360	Simple Reading	a 5 minute experiment where you read a short, easy passage and answer some questions	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$0.40	Mon Dec 01 05:28:01 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Wed Dec 31 05:28:01 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3TL87MO8CMPBHJYQOML8MPWWWDJFL3	354P56DE9K3OTNC4GEPZZ3ST8LKS7W	4	Approved	Mon Dec 01 22:17:29 PST 2014	Mon Dec 01 05:34:53 PST 2014	Mon Dec 01 05:37:29 PST 2014	Mon Dec 01 05:39:14 PST 2014					[]	{"condition":"variety_of_adverbs","target":"astoundingly","context":[]}	2.5054666666666665
